,genus,species,count,centroid_x,centroid_y,std_x,std_y,radio_dis
0,Engystomops,pustulosus,82,-79.6716888888889,9.443611111111112,5.4475976910203165,1.8579220551365883,3.66991425700881
1,Allobates,femoralis,76,-54.446965671641784,2.9890985074626863,5.264443666615763,3.090212037959534,3.768775948843182
2,Rhinella,horribilis,58,-86.32030172413792,13.60858103448276,7.702349785829836,7.188588270654059,8.900319933874949
3,Leptodactylus,fuscus,53,-55.75650384615384,-7.886090384615385,9.233500847831676,15.144260478545096,17.306050578269474
4,Eleutherodactylus,johnstonei,47,-67.28527021276597,9.727178723404254,8.458665912841703,5.076777289795723,8.826657983573677
5,Leptodactylus,fragilis,44,-85.4295,13.682534883720932,6.377297469202584,6.544726630988074,7.966725037462653
6,Dendropsophus,microcephalus,32,-79.94100666666665,10.655393333333334,10.316900493621564,7.299194025321487,9.486721825658197
7,Boana,boans,25,-62.24003571428572,1.831414285714286,9.366846930958689,6.984804458952014,11.197166546847884
8,Leptodactylus,savagei,21,-81.62370476190475,9.664152380952379,3.337073496411717,0.7702215770363916,3.011041384065344
9,Dendropsophus,columbianus,16,-75.865275,4.93824375,0.3163004515093192,0.6370309764532158,0.5918573717774871
10,Dendropsophus,ebraccatus,16,-81.74259375,9.5332625,4.243106560126194,2.4119513958813,3.292997170563616
11,Trachycephalus,typhonius,14,-65.3906909090909,-7.890518181818181,10.168485470265876,11.578828727923153,14.77326213568078
12,Scinax,ruber,13,-59.33831818181818,4.44690909090909,8.455287341477055,3.9293073258306537,8.33595315713584
13,Andinobates,opisthomelas,10,-75.38555999999998,6.2285,0.09384450117081944,0.3288070193897934,0.2844271776728737
14,Hyalinobatrachium,tatayoi,7,-79.34945714285716,7.047042857142857,1.7861890284362738,2.9493202974134047,2.8950309564927927
15,Leucostethus,fraterdanieli,7,-75.61141428571429,5.869085714285714,0.42775648088459606,0.9400296020089267,0.7284641033268914
16,Smilisca,phaeota,6,-82.2983,8.160833333333333,2.2511135503716075,3.3215146417794927,3.275175339102488
17,Boana,pugnax,6,-75.05111666666666,7.8320500000000015,4.07910986099364,1.6989545498629444,3.6375737636057437
18,Dendropsophus,bogerti,6,-75.54476666666666,6.449999999999999,0.09562225449944296,0.34715654489965575,0.3369251931940957
19,Leptodactylus,insularum,6,-80.27566666666667,9.9443,0.8455764792271728,2.509502873080643,2.480873490184599
20,Elachistocleis,panamensis,5,-79.54177999999999,9.10084,0.1988005875242824,0.02444590763297571,0.19625112728338787
21,Pristimantis,taeniatus,5,-78.74204,8.462900000000001,1.8142200005511986,1.2297000008132064,1.7533613521472389
22,Espadarana,prosoblepon,4,-81.30185,9.060475,2.013768871419954,0.7525327746184879,1.8617674353369829
23,Scinax,rostratus,3,-73.67586666666666,5.046466666666666,0.12977766457376502,1.6609466885551214,1.5707283928008102
24,Diasporus,gularis,3,-77.26033333333334,3.8380666666666663,0.0018571184369583157,0.005325619421459083,0.005420156276171988
25,Allobates,niputidea,2,-74.23475,6.08945,5.000000000165983e-05,4.999999999988347e-05,7.071067811974603e-05
26,Elachistocleis,pearsei,2,-73.8756,7.0911,0.0,0.0,0.0
27,Dendrobates,truncatus,2,-75.03795,7.8743,0.15024999999999977,2.0138999999999996,2.0194970345360743
28,Colostethus,inguinalis,2,-74.9357,8.13305,0.25549999999999784,1.7589499999999996,1.7774097311818673
29,Lithobates,vaillanti,2,-84.7207,10.9727,0.0,0.0,0.0
30,Pristimantis,bogotensis,2,-73.87235000000001,4.85785,0.22715000000000174,0.2085499999999998,0.3083670296902714
31,Pristimantis,achatinus,2,-75.70265,5.75675,0.313449999999996,0.029050000000000242,0.31479327343511887
32,Rhinella,humboldti,2,-75.6537,9.77545,0.15460000000000207,0.6938500000000003,0.7108649537711091
33,Rheobates,palmatus,2,-73.8946,5.4212,0.34770000000000323,0.3803000000000001,0.5152896078905553
