,primary_label,secondary_labels,type,filename,collection,rating,latitude,longitude,scientific_name,common_name,genus,species,inat_taxon_id,class_name
0,1139490,[''],[''],1139490/CSA36385.ogg,CSA,0.0,7.3206,-73.7128,Ragoniella pulchella,Ragoniella pulchella,Ragoniella,pulchella,1139490,Insecta
1,1139490,[''],[''],1139490/CSA36389.ogg,CSA,0.0,7.3206,-73.7128,Ragoniella pulchella,Ragoniella pulchella,Ragoniella,pulchella,1139490,Insecta
2,1192948,[''],[''],1192948/CSA36358.ogg,CSA,0.0,7.3791,-73.7313,Oxyprora surinamensis,Oxyprora surinamensis,Oxyprora,surinamensis,1192948,Insecta
3,1192948,[''],[''],1192948/CSA36366.ogg,CSA,0.0,7.28,-73.8582,Oxyprora surinamensis,Oxyprora surinamensis,Oxyprora,surinamensis,1192948,Insecta
4,1192948,[''],[''],1192948/CSA36373.ogg,CSA,0.0,7.3791,-73.7313,Oxyprora surinamensis,Oxyprora surinamensis,Oxyprora,surinamensis,1192948,Insecta
5,1192948,[''],[''],1192948/CSA36388.ogg,CSA,0.0,7.3791,-73.7313,Oxyprora surinamensis,Oxyprora surinamensis,Oxyprora,surinamensis,1192948,Insecta
6,1194042,[''],[''],1194042/CSA18783.ogg,CSA,0.0,5.7892,-73.5504,Copiphora colombiae,Copiphora colombiae,Copiphora,colombiae,1194042,Insecta
7,1194042,[''],[''],1194042/CSA18794.ogg,CSA,0.0,5.7892,-73.5504,Copiphora colombiae,Copiphora colombiae,Copiphora,colombiae,1194042,Insecta
8,1194042,[''],[''],1194042/CSA18802.ogg,CSA,0.0,5.7892,-73.5504,Copiphora colombiae,Copiphora colombiae,Copiphora,colombiae,1194042,Insecta
9,126247,"['65448', '22976', '476538']",['advertisement call'],126247/XC941297.ogg,XC,3.5,9.0465,-79.3024,Leptodactylus insularum,Spotted Foam-nest Frog,Leptodactylus,insularum,126247,Amphibia
10,126247,[''],[''],126247/iNat1109254.ogg,iNat,0.0,9.0465,-79.3024,Leptodactylus insularum,Spotted Foam-nest Frog,Leptodactylus,insularum,126247,Amphibia
11,126247,[''],[''],126247/iNat146584.ogg,iNat,0.0,13.3852,-81.3704,Leptodactylus insularum,Spotted Foam-nest Frog,Leptodactylus,insularum,126247,Amphibia
12,126247,[''],[''],126247/iNat320679.ogg,iNat,0.0,13.3482,-81.3576,Leptodactylus insularum,Spotted Foam-nest Frog,Leptodactylus,insularum,126247,Amphibia
13,126247,[''],[''],126247/iNat888527.ogg,iNat,0.0,7.4197,-80.1606,Leptodactylus insularum,Spotted Foam-nest Frog,Leptodactylus,insularum,126247,Amphibia
14,126247,[''],[''],126247/iNat888729.ogg,iNat,0.0,7.4197,-80.1606,Leptodactylus insularum,Spotted Foam-nest Frog,Leptodactylus,insularum,126247,Amphibia
